indicator_code,indicator_name,long_definition
ADMRASTH_M_TOTAL_15_AS_STD_RATE_MPOP,Asthma hospital admission,"Male, 15 years old and over, Age-sex standardised rate per 100 000 population"
ADMRASTH_M_TOTAL_15_LOW_CI,Asthma hospital admission,"Male, 15 years old and over, Lower confidence interval"
ADMRASTH_M_TOTAL_15_UP_CI,Asthma hospital admission,"Male, 15 years old and over, Upper confidence interval"
ADMRCOPD_M_TOTAL_15_AS_STD_RATE_MPOP,Chronic obstructive pulmonary disease hospital admission,"Male, 15 years old and over, Age-sex standardised rate per 100 000 population"
ADMRCOPD_M_TOTAL_15_LOW_CI,Chronic obstructive pulmonary disease hospital admission,"Male, 15 years old and over, Lower confidence interval"
ADMRCOPD_M_TOTAL_15_UP_CI,Chronic obstructive pulmonary disease hospital admission,"Male, 15 years old and over, Upper confidence interval"
ADMRCHFL_M_TOTAL_15_AS_STD_RATE_MPOP,Congestive heart failure hospital admission,"Male, 15 years old and over, Age-sex standardised rate per 100 000 population"
ADMRCHFL_M_TOTAL_15_LOW_CI,Congestive heart failure hospital admission,"Male, 15 years old and over, Lower confidence interval"
ADMRCHFL_M_TOTAL_15_UP_CI,Congestive heart failure hospital admission,"Male, 15 years old and over, Upper confidence interval"
ADMRDBUC_M_TOTAL_15_AS_STD_RATE_MPOP,Diabetes hospital admission ,"Male, 15 years old and over, Age-sex standardised rate per 100 000 population"
ADMRDBUC_M_TOTAL_15_LOW_CI,Diabetes hospital admission ,"Male, 15 years old and over, Lower confidence interval"
ADMRDBUC_M_TOTAL_15_UP_CI,Diabetes hospital admission ,"Male, 15 years old and over, Upper confidence interval"
ADMRDBLE_M_TOTAL_15_AS_STD_RATE_MPOP,Diabetes lower extremity amputation using unlinked data,"Male, 15 years old and over, Age-sex standardised rate per 100 000 population"
ADMRDBLE_M_TOTAL_15_LOW_CI,Diabetes lower extremity amputation using unlinked data,"Male, 15 years old and over, Lower confidence interval"
ADMRDBLE_M_TOTAL_15_UP_CI,Diabetes lower extremity amputation using unlinked data,"Male, 15 years old and over, Upper confidence interval"
ADMRASTH_F_TOTAL_15_AS_STD_RATE_MPOP,Asthma hospital admission,"Female, 15 years old and over, Age-sex standardised rate per 100 000 population"
ADMRASTH_F_TOTAL_15_LOW_CI,Asthma hospital admission,"Female, 15 years old and over, Lower confidence interval"
ADMRASTH_F_TOTAL_15_UP_CI,Asthma hospital admission,"Female, 15 years old and over, Upper confidence interval"
ADMRCOPD_F_TOTAL_15_AS_STD_RATE_MPOP,Chronic obstructive pulmonary disease hospital admission,"Female, 15 years old and over, Age-sex standardised rate per 100 000 population"
ADMRCOPD_F_TOTAL_15_LOW_CI,Chronic obstructive pulmonary disease hospital admission,"Female, 15 years old and over, Lower confidence interval"
ADMRCOPD_F_TOTAL_15_UP_CI,Chronic obstructive pulmonary disease hospital admission,"Female, 15 years old and over, Upper confidence interval"
ADMRCHFL_F_TOTAL_15_AS_STD_RATE_MPOP,Congestive heart failure hospital admission,"Female, 15 years old and over, Age-sex standardised rate per 100 000 population"
ADMRCHFL_F_TOTAL_15_LOW_CI,Congestive heart failure hospital admission,"Female, 15 years old and over, Lower confidence interval"
ADMRCHFL_F_TOTAL_15_UP_CI,Congestive heart failure hospital admission,"Female, 15 years old and over, Upper confidence interval"
ADMRDBUC_F_TOTAL_15_AS_STD_RATE_MPOP,Diabetes hospital admission ,"Female, 15 years old and over, Age-sex standardised rate per 100 000 population"
ADMRDBUC_F_TOTAL_15_LOW_CI,Diabetes hospital admission ,"Female, 15 years old and over, Lower confidence interval"
ADMRDBUC_F_TOTAL_15_UP_CI,Diabetes hospital admission ,"Female, 15 years old and over, Upper confidence interval"
ADMRDBLE_F_TOTAL_15_AS_STD_RATE_MPOP,Diabetes lower extremity amputation using unlinked data,"Female, 15 years old and over, Age-sex standardised rate per 100 000 population"
ADMRDBLE_F_TOTAL_15_LOW_CI,Diabetes lower extremity amputation using unlinked data,"Female, 15 years old and over, Lower confidence interval"
ADMRDBLE_F_TOTAL_15_UP_CI,Diabetes lower extremity amputation using unlinked data,"Female, 15 years old and over, Upper confidence interval"
ADMRASTH_T_TOTAL_15_AS_STD_RATE_MPOP,Asthma hospital admission,"Total, 15 years old and over, Age-sex standardised rate per 100 000 population"
ADMRASTH_T_TOTAL_15_LOW_CI,Asthma hospital admission,"Total, 15 years old and over, Lower confidence interval"
ADMRASTH_T_TOTAL_15_UP_CI,Asthma hospital admission,"Total, 15 years old and over, Upper confidence interval"
ADMRCOPD_T_TOTAL_15_AS_STD_RATE_MPOP,Chronic obstructive pulmonary disease hospital admission,"Total, 15 years old and over, Age-sex standardised rate per 100 000 population"
ADMRCOPD_T_TOTAL_15_LOW_CI,Chronic obstructive pulmonary disease hospital admission,"Total, 15 years old and over, Lower confidence interval"
ADMRCOPD_T_TOTAL_15_UP_CI,Chronic obstructive pulmonary disease hospital admission,"Total, 15 years old and over, Upper confidence interval"
ADMRCHFL_T_TOTAL_15_AS_STD_RATE_MPOP,Congestive heart failure hospital admission,"Total, 15 years old and over, Age-sex standardised rate per 100 000 population"
ADMRCHFL_T_TOTAL_15_LOW_CI,Congestive heart failure hospital admission,"Total, 15 years old and over, Lower confidence interval"
ADMRCHFL_T_TOTAL_15_UP_CI,Congestive heart failure hospital admission,"Total, 15 years old and over, Upper confidence interval"
ADMRDBUC_T_TOTAL_15_AS_STD_RATE_MPOP,Diabetes hospital admission ,"Total, 15 years old and over, Age-sex standardised rate per 100 000 population"
ADMRDBUC_T_TOTAL_15_LOW_CI,Diabetes hospital admission ,"Total, 15 years old and over, Lower confidence interval"
ADMRDBUC_T_TOTAL_15_UP_CI,Diabetes hospital admission ,"Total, 15 years old and over, Upper confidence interval"
ADMRDBLE_T_TOTAL_15_AS_STD_RATE_MPOP,Diabetes lower extremity amputation using unlinked data,"Total, 15 years old and over, Age-sex standardised rate per 100 000 population"
ADMRDBLE_T_TOTAL_15_LOW_CI,Diabetes lower extremity amputation using unlinked data,"Total, 15 years old and over, Lower confidence interval"
