""	"indicator_code"	"indicator_name"	"long_definition"
"0"	"Country"	"indicator name missing"	"definition missing"
"1"	"Year"	"indicator name missing"	"definition missing"
"2"	"SH.ANM.ALLW.ZS"	"Prevalence of anemia among women of reproductive age (% of women ages 15-49)"	"Prevalence of anemia among women of reproductive age refers to the combined prevalence of both non-pregnant with haemoglobin levels below 12 g/dL and pregnant women with haemoglobin levels below 11 g/dL."
"3"	"SH.ANM.CHLD.ZS"	"Prevalence of anemia among children (% of children ages 6-59 months)"	"Prevalence of anemia, children ages 6-59 months, is the percentage of children ages 6-59 months whose hemoglobin level is less than 110 grams per liter, adjusted for altitude."
"4"	"SH.ANM.NPRG.ZS"	"Prevalence of anemia among non-pregnant women (% of women ages 15-49)"	"Prevalence of anemia, non-pregnant women, is the percentage of non-pregnant women whose hemoglobin level is less than 120 grams per liter at sea level."
"5"	"SH.DTH.IMRT"	"Number of infant deaths"	"Number of infants dying before reaching one year of age."
"6"	"SH.DTH.IMRT.FE"	"Number of infant deaths, female"	"Number of female infants dying before reaching one year of age."
"7"	"SH.DTH.IMRT.MA"	"Number of infant deaths, male"	"Number of male infants dying before reaching one year of age."
"8"	"SH.DTH.MORT"	"Number of under-five deaths"	"Number of children dying before reaching age five."
"9"	"SH.DTH.MORT.FE"	"Number of under-five deaths, female"	"Number of female children dying before reaching age five."
"10"	"SH.DTH.MORT.MA"	"Number of under-five deaths, male"	"Number of male children dying before reaching age five."
"11"	"SH.DTH.NMRT"	"Number of neonatal deaths"	"Number of neonates dying before reaching 28 days of age."
"12"	"SH.DTH.STLB"	"Number of stillbirths"	"Number of fetal deaths at 28 weeks or more of gestation"
"13"	"SH.DYN.AIDS.FE.ZS"	"Women's share of population ages 15+ living with HIV (%)"	"Prevalence of HIV is the percentage of people who are infected with HIV. Female rate is as a percentage of the total population ages 15+ who are living with HIV."
"14"	"SH.DYN.AIDS.ZS"	"Prevalence of HIV, total (% of population ages 15-49)"	"Prevalence of HIV refers to the percentage of people ages 15-49 who are infected with HIV."
"15"	"SH.DYN.MORT"	"Mortality rate, under-5 (per 1,000 live births)"	"Under-five mortality rate is the probability per 1,000 that a newborn baby will die before reaching age five, if subject to age-specific mortality rates of the specified year."
"16"	"SH.DYN.MORT.FE"	"Mortality rate, under-5, female (per 1,000 live births)"	"Under-five mortality rate, female is the probability per 1,000 that a newborn female baby will die before reaching age five, if subject to female age-specific mortality rates of the specified year."
"17"	"SH.DYN.MORT.MA"	"Mortality rate, under-5, male (per 1,000 live births)"	"Under-five mortality rate, male is the probability per 1,000 that a newborn male baby will die before reaching age five, if subject to male age-specific mortality rates of the specified year."
"18"	"SH.DYN.NCOM.FE.ZS"	"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)"	"Mortality from CVD, cancer, diabetes or CRD is the percent of 30-year-old-people who would die before their 70th birthday from any of cardiovascular disease, cancer, diabetes,  or chronic respiratory disease, assuming that s/he would experience current mortality rates at every age and s/he would not die from any other cause of death (e.g., injuries or HIV/AIDS)."
"19"	"SH.DYN.NCOM.MA.ZS"	"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)"	"Mortality from CVD, cancer, diabetes or CRD is the percent of 30-year-old-people who would die before their 70th birthday from any of cardiovascular disease, cancer, diabetes,  or chronic respiratory disease, assuming that s/he would experience current mortality rates at every age and s/he would not die from any other cause of death (e.g., injuries or HIV/AIDS)."
"20"	"SH.DYN.NCOM.ZS"	"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)"	"Mortality from CVD, cancer, diabetes or CRD is the percent of 30-year-old-people who would die before their 70th birthday from any of cardiovascular disease, cancer, diabetes,  or chronic respiratory disease, assuming that s/he would experience current mortality rates at every age and s/he would not die from any other cause of death (e.g., injuries or HIV/AIDS)."
